post_id,year,price,beds,word
pre2013_64606,2012,5800,3,beautiful
pre2013_106940,2004,900,1,beautiful
pre2013_105192,2004,895,1,beautiful
pre2013_35222,2011,1345,1,beautiful
pre2013_85433,2003,1295,2,beautiful
pre2013_105193,2004,750,0,beautiful
pre2013_148960,2006,1049,0,beautiful
pre2013_28066,2008,1900,2,beautiful
4611926849,2014,1450,0,beautiful
4945976644,2015,2813,1,beautiful
pre2013_24032,2012,2995,2,beautiful
pre2013_148713,2006,1049,0,beautiful
pre2013_107397,2004,2000,2,beautiful
pre2013_79605,2006,4000,4,beautiful
pre2013_47894,2012,1345,1,beautiful
pre2013_117578,2004,950,1,beautiful
pre2013_110387,2004,2100,2,beautiful
3610588506,2013,4800,4,beautiful
pre2013_44188,2011,5500,3,beautiful
pre2013_157954,2006,1390,1,beautiful
pre2013_104091,2004,1295,2,beautiful
pre2013_150732,2006,1175,1,beautiful
pre2013_21177,2012,1650,1,beautiful
4253141873,2014,3995,3,beautiful
pre2013_126970,2004,1275,2,beautiful
pre2013_44219,2011,1346,0,beautiful
5290999239,2015,4600,4,beautiful
pre2013_137161,2005,650,2,beautiful
pre2013_109391,2004,1275,2,beautiful
pre2013_13595,2012,3250,3,beautiful
pre2013_130092,2004,2500,3,beautiful
pre2013_26432,2007,2900,3,beautiful
pre2013_32941,2011,2300,2,beautiful
pre2013_34771,2011,3200,NA,beautiful
pre2013_134078,2005,1375,2,beautiful
pre2013_106945,2004,2350,3,beautiful
5807536589,2016,3295,2,beautiful
pre2013_117586,2004,2375,3,beautiful
pre2013_150727,2006,4500,4,beautiful
pre2013_148666,2006,1049,0,beautiful
pre2013_150528,2006,3400,3,beautiful
3849546882,2013,2100,2,beautiful
pre2013_148379,2006,1099,0,beautiful
pre2013_8841,2011,2019,2,beautiful
pre2013_62628,2012,5800,3,beautiful
pre2013_117786,2004,1100,1,beautiful
pre2013_119594,2004,750,0,beautiful
pre2013_103582,2004,895,1,beautiful
pre2013_148200,2006,2050,3,beautiful
pre2013_59814,2012,3650,2,beautiful
pre2013_56522,2012,2995,2,beautiful
5302358263,2015,2595,2,beautiful
pre2013_106949,2004,1195,2,beautiful
pre2013_44978,2011,1895,2,beautiful
pre2013_116442,2001,1450,1,beautiful
pre2013_150533,2006,4400,3,beautiful
pre2013_117574,2004,1125,2,beautiful
pre2013_51319,2012,1399,1,beautiful
pre2013_45281,2011,2200,3,beautiful
pre2013_1812,2006,1695,2,beautiful
pre2013_109598,2004,1200,2,beautiful
pre2013_157277,2006,1049,0,beautiful
pre2013_43848,2011,1895,2,beautiful
pre2013_127283,2004,1200,2,beautiful
pre2013_105948,2004,895,1,beautiful
pre2013_10078,2011,2800,3,beautiful
pre2013_48475,2012,1750,1,beautiful
